"agencyID";"ar";"en";"en_description";"fr";"fr_description";"he";"id";"id_description";"isFinal";"version"
"76";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Marine aquaculture";"Liste des codes pour les activités economiques, ISIC rev.4";"Aquaculture en mer";NA;"CL_ACTIVITY_ISIC4";"A0321";"true";"1.0"
"77";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Freshwater aquaculture";"Liste des codes pour les activités economiques, ISIC rev.4";"Aquaculture en eau douce";NA;"CL_ACTIVITY_ISIC4";"A0322";"true";"1.0"
"78";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Agriculture, forestry and fishing - Non specified";"Liste des codes pour les activités economiques, ISIC rev.4";"Agriculture, sylviculture et pêche - Non spécifié";NA;"CL_ACTIVITY_ISIC4";"A_X";"true";"1.0"
"79";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Mining and quarrying; Energy, water supply and waste management services";"Liste des codes pour les activités economiques, ISIC rev.4";"Activités extractives; Energie, distribution d'eau, assainissement; gestion des déchets";NA;"CL_ACTIVITY_ISIC4";"B_D_E";"true";"1.0"
"80";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Mining and quarrying, manufacturing and energy";"Liste des codes pour les activités economiques, ISIC rev.4";NA;NA;"CL_ACTIVITY_ISIC4";"BTD";"true";"1.0"
"81";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Industry (except construction)";"Liste des codes pour les activités economiques, ISIC rev.4";"Industrie (sauf construction)";NA;"CL_ACTIVITY_ISIC4";"BTE";"true";"1.0"
"82";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Industry (including construction)";"Liste des codes pour les activités economiques, ISIC rev.4";"Industrie (y compris la construction)";NA;"CL_ACTIVITY_ISIC4";"BTF";"true";"1.0"
"83";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Business economy";"Liste des codes pour les activités economiques, ISIC rev.4";"Economie marchande";NA;"CL_ACTIVITY_ISIC4";"BTN";"true";"1.0"
"84";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Total business economy; repair of computers, personal and household goods; except financial and insurance activities";"Liste des codes pour les activités economiques, ISIC rev.4";"Ensemble de l'industrie et services marchands; réparation d'ordinateurs, de biens personnels et domestiques; sauf les activités financières et d'assurances";NA;"CL_ACTIVITY_ISIC4";"BTN_95XK";"true";"1.0"
"85";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Business economy except activities of holding companies";"Liste des codes pour les activités economiques, ISIC rev.4";"Economie marchande, sauf les activités des sociétés holding";NA;"CL_ACTIVITY_ISIC4";"BTNX642";"true";"1.0"
"86";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Business economy except financial and insurance activities";"Liste des codes pour les activités economiques, ISIC rev.4";"Economie marchande, sauf les activités financières et d'assurances";NA;"CL_ACTIVITY_ISIC4";"BTNXK";"true";"1.0"
"87";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Business economy excluding real estate";"Liste des codes pour les activités economiques, ISIC rev.4";"Economie marchande, sauf les activités immobilières";NA;"CL_ACTIVITY_ISIC4";"BTNXL";"true";"1.0"
"88";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Total economy, except agriculture, activities of households and extraterritorial organisations";"Liste des codes pour les activités economiques, ISIC rev.4";NA;NA;"CL_ACTIVITY_ISIC4";"BTS";"true";"1.0"
"89";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Industry, construction and services except insurance activities of holding companies";"Liste des codes pour les activités economiques, ISIC rev.4";"Industrie, construction et services, sauf les activités des sociétés holding";NA;"CL_ACTIVITY_ISIC4";"BTSX642";"true";"1.0"
"90";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Industry, construction and services, except financial and insurance activities";"Liste des codes pour les activités economiques, ISIC rev.4";"Industrie, construction et services, sauf les activités financières et d'assurances";NA;"CL_ACTIVITY_ISIC4";"BTSXK";"true";"1.0"
"91";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Industry, construction and market services (except financial and insurance activities; public administration and defence; compulsory social security)";"Liste des codes pour les activités economiques, ISIC rev.4";"Industrie, construction et services marchands (sauf les activités financières et d'assurances; l'administration publique et la défense;la sécurité sociale obligatoire)";NA;"CL_ACTIVITY_ISIC4";"BTSXK_O";"true";"1.0"
"92";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Industry, construction and market services (except public administration and defence; compulsory social security)";"Liste des codes pour les activités economiques, ISIC rev.4";"Industrie, construction et services marchands (sauf l'administration publique et la défense;la sécurité sociale obligatoire)";NA;"CL_ACTIVITY_ISIC4";"BTSXO";"true";"1.0"
"93";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)";"Liste des codes pour les activités economiques, ISIC rev.4";"Industrie, construction et services marchands (sauf l'administration publique et la défense;la sécurité sociale obligatoire; activités des organisations associatives)";NA;"CL_ACTIVITY_ISIC4";"BTSXO_S94";"true";"1.0"
